window_id,delay_days,mean_1m,start_theta
7,3.7916666666666665,24.883333333333333,43.736
7,3.875,24.856,43.736
7,3.9166666666666665,24.841,43.736
7,3.9583333333333335,24.822666666666667,43.736
7,4.0,24.809,43.736
7,4.041666666666667,24.791666666666668,43.736
7,4.083333333333333,24.77533333333333,43.736
7,4.125,24.757,43.736
7,4.166666666666667,24.73933333333333,43.736
7,4.208333333333333,24.721,43.736
7,4.25,24.696,43.736
7,4.291666666666667,24.657,43.736
7,4.333333333333333,24.611666666666665,43.736
7,4.375,24.54566666666667,43.736
7,4.416666666666667,24.474,43.736
7,4.458333333333333,24.42533333333333,43.736
7,4.5,24.38233333333333,43.736
7,4.541666666666667,24.33,43.736
7,4.583333333333333,24.285999999999994,43.736
7,4.625,24.267666666666667,43.736
7,4.666666666666667,24.245666666666665,43.736
7,4.708333333333333,24.221000000000004,43.736
7,4.75,24.19633333333333,43.736
7,4.791666666666667,24.17233333333333,43.736
7,4.875,24.127666666666663,43.736
7,4.916666666666667,24.104,43.736
7,4.958333333333333,24.082666666666665,43.736
7,5.0,24.061333333333334,43.736
7,5.041666666666667,24.03933333333333,43.736
7,5.083333333333333,24.018,43.736
7,5.125,23.993666666666662,43.736
7,5.166666666666667,23.97266666666666,43.736
7,5.208333333333333,23.945666666666664,43.736
7,5.25,23.91033333333333,43.736
7,5.291666666666667,23.867666666666665,43.736
7,5.333333333333333,23.828333333333333,43.736
7,5.375,23.78633333333333,43.736
7,5.416666666666667,23.727,43.736
7,5.458333333333333,23.67233333333333,43.736
7,5.5,23.616000000000003,43.736
7,5.541666666666667,23.562666666666665,43.736
7,5.583333333333333,23.513,43.736
7,5.625,23.46666666666666,43.736
7,5.666666666666667,23.421333333333333,43.736
7,5.708333333333333,23.378666666666668,43.736
7,5.75,23.34133333333333,43.736
7,5.791666666666667,23.310333333333336,43.736
7,5.875,23.259333333333338,43.736
7,5.916666666666667,23.23633333333333,43.736
7,5.958333333333333,23.211666666666662,43.736
7,6.0,23.18733333333333,43.736
7,6.041666666666667,23.16466666666667,43.736
