date,RHOA
2024-03-23 13:00:00,29.459660289468165
2024-03-23 15:00:00,29.49028752984647
2024-03-23 17:00:00,29.441812393828897
2024-03-23 19:00:00,29.495134249430475
2024-03-23 21:00:00,29.528636521679232
2024-03-23 23:00:00,29.47179210881501
2024-03-24 01:00:00,29.5562531955266
2024-03-24 03:00:00,29.57835635266906
2024-03-24 11:00:00,29.148791565907196
2024-03-24 13:00:00,29.03325821939567
2024-03-24 15:00:00,28.985217046142466
2024-03-24 17:00:00,29.07372445819759
2024-03-24 19:00:00,29.17658380791208
2024-03-24 21:00:00,29.224262392200117
2024-03-24 23:00:00,29.27575461554469
2024-03-25 01:00:00,29.322042817209123
2024-03-25 03:00:00,29.377005507176996
2024-03-25 11:00:00,29.325730486050837
2024-03-25 13:00:00,29.36067225471799
2024-03-25 15:00:00,29.510196276581212
2024-03-25 17:00:00,29.683805721406543
2024-03-25 21:00:00,29.81930303200881
2024-03-25 23:00:00,29.83905856455432
2024-03-26 01:00:00,29.844258398363355
2024-03-26 03:00:00,29.893849729435345
2024-03-26 11:00:00,29.309756174865093
2024-03-26 13:00:00,29.32915988393171
2024-03-26 15:00:00,29.65441841496654
2024-03-26 17:00:00,29.82095207042724
2024-03-26 19:00:00,29.93451918842196
2024-03-26 21:00:00,30.030436279942585
2024-03-26 23:00:00,30.11040994886634
2024-03-27 01:00:00,30.185543790428994
2024-03-27 03:00:00,30.279758232267852
2024-03-27 11:00:00,29.356082700571168
2024-03-27 13:00:00,29.263171408680954
2024-03-27 17:00:00,29.372323852469258
2024-03-27 19:00:00,29.446789298313618
2024-03-27 21:00:00,29.485299237284394
2024-03-27 23:00:00,29.533421538347504
2024-03-28 01:00:00,29.575693453206043
2024-03-28 03:00:00,29.608452497458345
2024-03-28 11:00:00,29.591729269496387
2024-03-28 13:00:00,29.493554928021226
2024-03-28 15:00:00,29.48818123617567
2024-03-28 17:00:00,29.572627184025798
2024-03-28 19:00:00,29.604678626834225
2024-03-28 21:00:00,29.640073198532445
2024-03-28 23:00:00,29.668202224853665
2024-03-29 01:00:00,29.70165566940387
2024-03-29 03:00:00,29.730982326266655
2024-03-29 11:00:00,29.69837383456258
2024-03-29 13:00:00,29.68111542468246
2024-03-29 15:00:00,29.675058516719517
2024-03-29 17:00:00,29.721144456534134
2024-03-29 19:00:00,29.814593685505173
2024-03-29 21:00:00,29.88870908008653
2024-03-29 23:00:00,29.920592421614856
2024-03-30 01:00:00,29.947451843076504
2024-03-30 03:00:00,29.970623947819412
2024-03-30 11:00:00,29.828203089180473
2024-03-30 13:00:00,29.272571456553656
2024-03-30 15:00:00,29.086494996816818
2024-03-30 17:00:00,29.123548899004035
2024-03-30 19:00:00,29.170584953231554
2024-03-30 21:00:00,29.182160743440733
2024-03-30 23:00:00,29.198149793545646
2024-03-31 01:00:00,29.214044544697046
2024-03-31 03:00:00,29.252295992902205
2024-03-31 11:00:00,29.440691832369303
2024-03-31 13:00:00,29.461293151489407
2024-03-31 15:00:00,29.52312722063982
2024-03-31 17:00:00,29.626204234697646
2024-03-31 19:00:00,29.65229961293439
2024-03-31 21:00:00,29.73762716700709
2024-03-31 23:00:00,29.721912665053885
2024-04-01 01:00:00,29.754800770537667
2024-04-01 03:00:00,29.66958954200961
2024-04-01 11:00:00,28.95001502891983
2024-04-01 13:00:00,28.961773055654668
2024-04-01 15:00:00,29.04815544288509
2024-04-01 17:00:00,29.16028779758407
2024-04-01 19:00:00,29.178946886297904
2024-04-01 21:00:00,29.215701991611432
